city,lat,lon,humidity,wind_mps,temp_celsius,date_time,weather,description,risk_level
Bhopal,23.2667,77.4,26,1.03,21.1,2025-11-09 14:02:42,Haze,haze,Low
Indore,22.7179,75.8333,37,2.06,22.1,2025-11-09 14:07:14,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,58,3.58,22.2,2025-11-09 14:00:01,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:07:00,Haze,haze,Low
Mumbai,19.0144,72.8479,51,3.09,28.0,2025-11-09 13:59:20,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,21.1,2025-11-09 14:02:42,Haze,haze,Low
Indore,22.7179,75.8333,37,2.06,22.1,2025-11-09 14:07:14,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,58,3.58,22.2,2025-11-09 14:00:01,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:07:00,Haze,haze,Low
Mumbai,19.0144,72.8479,51,3.09,28.0,2025-11-09 14:07:55,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,21.1,2025-11-09 14:02:42,Haze,haze,Low
Indore,22.7179,75.8333,37,2.06,22.1,2025-11-09 14:07:14,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,58,3.58,22.3,2025-11-09 14:10:14,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:07:00,Haze,haze,Low
Mumbai,19.0144,72.8479,51,3.09,28.0,2025-11-09 14:07:55,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,21.1,2025-11-09 14:02:42,Haze,haze,Low
Indore,22.7179,75.8333,37,2.06,22.1,2025-11-09 14:07:14,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,58,3.58,22.3,2025-11-09 14:10:14,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:07:00,Haze,haze,Low
Mumbai,19.0144,72.8479,51,3.09,28.0,2025-11-09 14:07:55,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,21.1,2025-11-09 14:02:42,Haze,haze,Low
Indore,22.7179,75.8333,37,2.06,22.1,2025-11-09 14:07:14,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,58,3.58,22.3,2025-11-09 14:10:14,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:07:00,Haze,haze,Low
Mumbai,19.0144,72.8479,51,3.09,28.0,2025-11-09 14:07:55,Smoke,smoke,Low
Bhopal,23.2667,77.4,26,1.03,21.1,2025-11-09 14:02:42,Haze,haze,Low
Indore,22.7179,75.8333,37,2.06,22.1,2025-11-09 14:07:14,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,58,3.58,22.3,2025-11-09 14:10:14,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:18:17,Haze,haze,Low
Mumbai,19.0144,72.8479,51,3.09,28.0,2025-11-09 14:07:55,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:15:55,Haze,haze,Low
Indore,22.7179,75.8333,40,1.54,21.1,2025-11-09 14:16:36,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,58,3.58,22.3,2025-11-09 14:10:14,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:18:17,Haze,haze,Low
Mumbai,19.0144,72.8479,51,3.09,28.0,2025-11-09 14:07:55,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:15:55,Haze,haze,Low
Indore,22.7179,75.8333,40,1.54,21.1,2025-11-09 14:16:36,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,58,3.58,22.3,2025-11-09 14:10:14,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:18:17,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:18:14,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:15:55,Haze,haze,Low
Indore,22.7179,75.8333,40,1.54,21.1,2025-11-09 14:16:36,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,59,3.58,22.3,2025-11-09 14:21:11,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:18:17,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:18:14,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:15:55,Haze,haze,Low
Indore,22.7179,75.8333,40,1.54,21.1,2025-11-09 14:16:36,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,59,3.58,22.3,2025-11-09 14:21:11,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:18:17,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:18:14,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:15:55,Haze,haze,Low
Indore,22.7179,75.8333,40,1.54,21.1,2025-11-09 14:16:36,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,59,3.58,22.3,2025-11-09 14:21:11,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:25:20,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:18:14,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:23:57,Haze,haze,Low
Indore,22.7179,75.8333,40,1.54,21.1,2025-11-09 14:24:15,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,59,3.58,22.3,2025-11-09 14:21:11,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:25:20,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:18:14,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:23:57,Haze,haze,Low
Indore,22.7179,75.8333,40,1.54,21.1,2025-11-09 14:24:15,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,59,3.58,22.3,2025-11-09 14:21:11,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:25:20,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:31:20,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:23:57,Haze,haze,Low
Indore,22.7179,75.8333,40,1.54,21.1,2025-11-09 14:24:15,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,59,3.58,22.3,2025-11-09 14:31:19,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:25:20,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:31:20,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:23:57,Haze,haze,Low
Indore,22.7179,75.8333,40,1.54,21.1,2025-11-09 14:24:15,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,59,3.58,22.3,2025-11-09 14:31:19,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:25:20,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:31:20,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:23:57,Haze,haze,Low
Indore,22.7179,75.8333,40,1.54,21.1,2025-11-09 14:24:15,Clear,clear sky,Low
Bengaluru,12.9762,77.6033,59,3.58,22.3,2025-11-09 14:31:19,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:36:47,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:31:20,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:34:55,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:36:57,Haze,haze,Low
Bengaluru,12.9762,77.6033,59,3.58,22.3,2025-11-09 14:31:19,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:36:47,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:31:20,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:34:55,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:36:57,Haze,haze,Low
Bengaluru,12.9762,77.6033,59,3.58,22.3,2025-11-09 14:31:19,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:36:47,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:38:34,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:34:55,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:36:57,Haze,haze,Low
Bengaluru,12.9762,77.6033,59,3.58,22.0,2025-11-09 14:42:04,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:36:47,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:38:34,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:34:55,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:36:57,Haze,haze,Low
Bengaluru,12.9762,77.6033,59,3.58,22.0,2025-11-09 14:42:04,Clear,clear sky,Low
Delhi,28.6667,77.2167,40,2.06,21.1,2025-11-09 14:36:47,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:38:34,Smoke,smoke,Low
Bhopal,23.2667,77.4,32,0.0,19.1,2025-11-09 14:34:55,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:36:57,Haze,haze,Low
Bengaluru,12.9762,77.6033,59,3.58,22.0,2025-11-09 14:42:04,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 14:47:45,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:38:34,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 14:48:39,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:47:25,Haze,haze,Low
Bengaluru,12.9762,77.6033,59,3.58,22.0,2025-11-09 14:42:04,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 14:47:45,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.6,27.0,2025-11-09 14:38:34,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 14:48:39,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:47:25,Haze,haze,Low
Bengaluru,12.9762,77.6033,59,3.58,22.0,2025-11-09 14:42:04,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 14:47:45,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.09,27.0,2025-11-09 14:49:56,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 14:48:39,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:47:25,Haze,haze,Low
Bengaluru,12.9762,77.6033,60,3.13,22.0,2025-11-09 14:52:33,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 14:47:45,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.09,27.0,2025-11-09 14:49:56,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 14:48:39,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:47:25,Haze,haze,Low
Bengaluru,12.9762,77.6033,60,3.13,22.0,2025-11-09 14:52:33,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 14:47:45,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.09,27.0,2025-11-09 14:49:56,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 14:48:39,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:47:25,Haze,haze,Low
Bengaluru,12.9762,77.6033,60,3.13,22.0,2025-11-09 14:52:33,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 14:55:49,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.09,27.0,2025-11-09 14:49:56,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 14:56:02,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:58:49,Haze,haze,Low
Bengaluru,12.9762,77.6033,60,3.13,22.0,2025-11-09 14:52:33,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 14:55:49,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.09,27.0,2025-11-09 14:49:56,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 14:56:02,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:58:49,Haze,haze,Low
Bengaluru,12.9762,77.6033,60,3.13,22.0,2025-11-09 14:52:33,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 14:55:49,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.09,27.0,2025-11-09 15:00:48,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 14:56:02,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:58:49,Haze,haze,Low
Bengaluru,12.9762,77.6033,60,3.13,22.0,2025-11-09 15:02:49,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 14:55:49,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.09,27.0,2025-11-09 15:00:48,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 14:56:02,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:58:49,Haze,haze,Low
Bengaluru,12.9762,77.6033,60,3.13,22.0,2025-11-09 15:02:49,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 14:55:49,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.09,27.0,2025-11-09 15:00:48,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 14:56:02,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 14:58:49,Haze,haze,Low
Bengaluru,12.9762,77.6033,60,3.13,22.0,2025-11-09 15:02:49,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 15:06:43,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.09,27.0,2025-11-09 15:00:48,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 15:08:58,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 15:08:58,Haze,haze,Low
Bengaluru,12.9762,77.6033,60,3.13,22.0,2025-11-09 15:02:49,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 15:06:43,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.09,27.0,2025-11-09 15:00:48,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 15:08:58,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 15:08:58,Haze,haze,Low
Bengaluru,12.9762,77.6033,60,3.13,22.0,2025-11-09 15:02:49,Clear,clear sky,Low
Delhi,28.6667,77.2167,45,2.06,20.1,2025-11-09 15:06:43,Haze,haze,Low
Mumbai,19.0144,72.8479,57,3.09,27.0,2025-11-09 15:10:09,Smoke,smoke,Low
Bhopal,23.2667,77.4,30,0.51,20.1,2025-11-09 15:08:58,Haze,haze,Low
Indore,22.7179,75.8333,40,2.06,21.1,2025-11-09 15:08:58,Haze,haze,Low
Bengaluru,12.9762,77.6033,62,3.13,21.6,2025-11-09 15:13:19,Clear,clear sky,Low
Delhi,28.6667,77.2167,52,0.0,19.1,2025-11-09 16:36:59,Haze,haze,Low
Mumbai,19.0144,72.8479,57,2.06,27.0,2025-11-09 16:31:54,Smoke,smoke,Low
Bhopal,23.2667,77.4,39,0.51,17.1,2025-11-09 16:28:18,Haze,haze,Low
Indore,22.7179,75.8333,45,2.06,18.1,2025-11-09 16:35:09,Haze,haze,Low
Bengaluru,12.9762,77.6033,66,2.68,20.7,2025-11-09 16:32:46,Clear,clear sky,Low
Delhi,28.6667,77.2167,55,0.0,18.1,2025-11-09 16:52:32,Haze,haze,Low
Mumbai,19.0144,72.8479,57,1.54,27.0,2025-11-09 16:48:33,Smoke,smoke,Low
Bhopal,23.2667,77.4,41,0.51,16.1,2025-11-09 16:57:58,Haze,haze,Low
Indore,22.7179,75.8333,45,2.06,18.1,2025-11-09 16:45:35,Haze,haze,Low
Bengaluru,12.9762,77.6033,68,2.68,20.4,2025-11-09 16:47:59,Clear,clear sky,Low
Delhi,28.6667,77.2167,55,0.0,18.1,2025-11-09 17:10:08,Haze,haze,Low
Mumbai,19.0144,72.8479,65,1.54,26.0,2025-11-09 17:14:42,Smoke,smoke,Low
Bhopal,23.2667,77.4,47,0.51,15.1,2025-11-09 17:14:38,Haze,haze,Low
Indore,22.7179,75.8333,51,2.06,17.1,2025-11-09 17:16:19,Haze,haze,Low
Bengaluru,12.9762,77.6033,69,2.68,20.2,2025-11-09 17:13:15,Clear,clear sky,Low
Delhi,28.6667,77.2167,55,0.0,18.1,2025-11-09 17:31:04,Haze,haze,Low
Mumbai,19.0144,72.8479,65,1.54,26.0,2025-11-09 17:35:05,Smoke,smoke,Low
Bhopal,23.2667,77.4,47,0.51,15.1,2025-11-09 17:30:50,Haze,haze,Low
Indore,22.7179,75.8333,51,2.06,17.1,2025-11-09 17:27:32,Haze,haze,Low
Bengaluru,12.9762,77.6033,70,2.68,20.0,2025-11-09 17:34:19,Clouds,few clouds,Low
Delhi,28.6667,77.2167,52,0.0,18.1,2025-11-09 17:50:59,Haze,haze,Low
Mumbai,19.0144,72.8479,69,1.54,25.0,2025-11-09 17:52:25,Smoke,smoke,Low
Bhopal,23.2667,77.4,44,0.0,15.1,2025-11-09 17:50:32,Haze,haze,Low
Indore,22.7179,75.8333,48,1.54,18.1,2025-11-09 17:56:32,Haze,haze,Low
Bengaluru,12.9762,77.6033,71,2.24,19.6,2025-11-09 17:54:57,Clouds,few clouds,Low
Delhi,28.6667,77.2167,52,0.0,18.1,2025-11-09 18:09:24,Haze,haze,Low
Mumbai,19.0144,72.8479,69,0.0,25.0,2025-11-09 18:13:44,Haze,haze,Low
Bhopal,23.2667,77.4,47,0.51,15.1,2025-11-09 18:17:39,Haze,haze,Low
Indore,22.7179,75.8333,58,0.0,15.1,2025-11-09 18:15:54,Haze,haze,Low
Bengaluru,12.9762,77.6033,73,2.24,19.6,2025-11-09 18:05:01,Clouds,few clouds,Low
Delhi,28.6667,77.2167,52,0.0,18.1,2025-11-09 18:30:35,Haze,haze,Low
Mumbai,19.0144,72.8479,61,2.06,26.0,2025-11-09 18:36:00,Haze,haze,Low
Bhopal,23.2667,77.4,47,0.51,15.1,2025-11-09 18:30:48,Haze,haze,Low
Indore,22.7179,75.8333,58,0.0,15.1,2025-11-09 18:26:06,Haze,haze,Low
Bengaluru,12.9762,77.6033,72,2.24,19.4,2025-11-09 18:26:46,Clouds,few clouds,Low
Delhi,28.6667,77.2167,52,1.54,18.1,2025-11-10 04:13:16,Smoke,smoke,Low
Mumbai,19.0144,72.8479,57,2.57,26.0,2025-11-10 04:13:38,Smoke,smoke,Low
Bhopal,23.2667,77.4,25,2.06,23.1,2025-11-10 04:20:25,Haze,haze,Low
Indore,22.7179,75.8333,41,2.06,24.1,2025-11-10 04:21:56,Haze,haze,Low
Bengaluru,12.9762,77.6033,63,4.92,23.5,2025-11-10 04:14:42,Mist,mist,Low
Delhi,28.6667,77.2167,52,1.54,18.1,2025-11-10 04:34:58,Smoke,smoke,Low
Mumbai,19.0144,72.8479,57,2.57,26.0,2025-11-10 04:30:22,Smoke,smoke,Low
Bhopal,23.2667,77.4,23,2.57,24.1,2025-11-10 04:41:29,Haze,haze,Low
Indore,22.7179,75.8333,41,2.06,24.1,2025-11-10 04:32:14,Haze,haze,Low
Bengaluru,12.9762,77.6033,57,4.47,25.1,2025-11-10 04:40:54,Haze,haze,Low
Delhi,28.6667,77.2167,48,2.06,19.1,2025-11-10 04:55:36,Smoke,smoke,Low
Mumbai,19.0144,72.8479,54,3.09,27.0,2025-11-10 04:52:15,Smoke,smoke,Low
Bhopal,23.2667,77.4,23,2.57,24.1,2025-11-10 04:56:24,Haze,haze,Low
Indore,22.7179,75.8333,36,1.54,25.1,2025-11-10 05:00:28,Haze,haze,Low
Bengaluru,12.9762,77.6033,56,4.02,25.4,2025-11-10 04:56:50,Haze,haze,Low
